CHP_Cap HP_Cap PV_Cap Boiler_Cap AnnualPV AnnualCHPelec AnnualCHPheat AnnualHPheat AnnualHPelec AnnualBiolerHeat AnnualImport AnnualExport OilConsumption BiomassConsumption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KW KW KW KW GWh GWh GWh GWh GWh GWh KEuro KEuro GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
5343 5864 14442 8086.0 17.68 11.08 13.85 27.49 8.87 14.43 0.32 14.76 35.99 45.75 3217.0 2761.0 2470.0 -660.0 7878.0 1019.0 3102.0 3957.1925007111076 1.161 15914.192500711108 0.5521786891248627 
5932 1748 10159 10753.0 12.43 10.99 13.74 25.74 8.30 16.30 0.34 10.01 35.99 47.86 3217.0 2761.0 2584.0 -489.0 8163.0 900.0 3053.0 2110.1925007111076 3.895 14196.192500711108 0.37898205785426586 
5806 2243 13446 9219.0 16.46 11.15 13.94 27.40 8.84 14.44 0.33 13.64 35.99 45.92 3217.0 2761.0 2480.0 -626.0 7921.0 983.0 3100.0 3022.1925007111076 1.806 14989.192500711108 0.5115342365433907 
5498 1538 11887 11404.0 14.55 10.30 12.87 24.14 7.79 18.76 0.33 11.94 35.99 49.20 3217.0 2761.0 2657.0 -569.0 8153.0 934.0 3009.0 2492.1925007111076 2.784 14561.192500711108 0.4492859758330282 
5846 5763 13991 8086.0 17.12 11.12 13.90 27.49 8.87 14.38 0.32 14.25 35.99 45.79 3217.0 2761.0 2473.0 -645.0 7895.0 1016.0 3101.0 3849.1925007111076 1.454 15819.192500711108 0.5335042109117539 
5438 5056 10308 7868.0 12.62 11.52 14.40 27.47 8.86 13.90 0.34 10.16 35.99 46.18 3217.0 2761.0 2494.0 -495.0 8067.0 912.0 3102.0 2747.1925007111076 3.808 14785.192500711108 0.38447455144635667 
5217 1769 14156 10688.0 17.33 10.61 13.26 25.89 8.35 16.63 0.32 14.45 35.99 47.31 3217.0 2761.0 2555.0 -651.0 7969.0 987.0 3058.0 3093.1925007111076 1.338 15076.192500711108 0.5408275357012083 
5177 1626 13057 11131.0 15.98 10.40 13.01 24.89 8.03 17.89 0.33 13.23 35.99 48.37 3217.0 2761.0 2612.0 -613.0 8064.0 958.0 3030.0 2787.1925007111076 2.040 14810.192500711108 0.4965214207250092 
2634 1594 5328 10193.0 6.52 9.94 12.42 24.63 7.95 18.73 1.97 5.02 35.99 48.25 3217.0 2761.0 2605.0 -105.0 8565.0 715.0 3024.0 665.1925007111076 7.689 12936.192500711108 0.2559502013914317 
5574 1867 10780 10384.0 13.19 11.13 13.91 26.42 8.52 15.45 0.34 10.68 35.99 47.13 3217.0 2761.0 2545.0 -518.0 8094.0 910.0 3073.0 2268.1925007111076 3.507 14313.192500711108 0.40351519589893814 
