CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
282 0 82 1493 1485 1260 196 0.01 0.01 0.00 0.00 0.67 2.28 0.06 0.07 0.00 1.30 -0.567 6094 
0 54 250 266 7 2 3 0.00 0.00 0.52 0.82 0.67 0.03 0.00 0.00 0.00 0.09 0.320 3033 
0 54 250 266 7 2 3 0.00 0.00 0.52 0.82 0.67 0.03 0.00 0.00 0.00 0.09 0.320 3033 
52 0 83 1495 1494 979 196 0.01 0.01 0.00 0.00 0.67 2.28 0.06 0.07 0.00 1.30 -0.566 5961 
17 0 113 710 465 292 200 0.01 0.01 0.00 0.03 0.89 1.63 0.10 0.22 0.00 1.09 -0.461 4032 
30 0 100 959 451 198 196 0.01 0.02 0.00 0.02 1.04 1.59 0.06 0.19 0.00 1.13 -0.485 4169 
1 53 233 390 91 5 15 0.00 0.00 0.52 0.44 0.98 0.35 0.00 0.00 0.00 0.35 0.041 3216 
15 41 219 427 418 14 41 0.01 0.02 0.51 0.09 0.69 1.49 0.01 0.00 0.00 0.87 -0.342 3611 
61 0 83 1498 1012 451 196 0.01 0.01 0.00 0.00 0.81 2.11 0.05 0.09 0.00 1.27 -0.555 5260 
48 0 107 725 411 175 200 0.02 0.03 0.00 0.02 0.98 1.51 0.07 0.23 0.00 1.06 -0.453 3980 
59 0 83 1500 1027 654 196 0.01 0.01 0.00 0.00 0.80 2.11 0.06 0.09 0.00 1.28 -0.557 5356 
67 0 83 1500 1221 675 196 0.01 0.01 0.00 0.00 0.74 2.20 0.06 0.08 0.00 1.29 -0.561 5574 
15 0 114 959 453 57 196 0.01 0.01 0.00 0.03 1.05 1.60 0.02 0.20 0.00 1.11 -0.473 4098 
26 0 101 1494 486 221 196 0.01 0.01 0.00 0.01 1.15 1.65 0.05 0.14 0.00 1.22 -0.526 4588 
2 54 220 346 277 2 12 0.00 0.00 0.52 0.23 0.79 1.06 0.00 0.00 0.00 0.66 -0.187 3380 
2 51 228 261 310 1 11 0.00 0.00 0.52 0.25 0.61 1.18 0.00 0.00 0.00 0.62 -0.161 3351 
2 52 226 379 317 1 13 0.00 0.00 0.52 0.18 0.79 1.21 0.00 0.00 0.00 0.74 -0.247 3445 
57 0 84 1498 707 556 196 0.01 0.02 0.00 0.00 0.95 1.91 0.07 0.11 0.00 1.26 -0.547 4982 
26 1 128 1122 402 221 193 0.01 0.01 0.03 0.02 1.18 1.47 0.07 0.18 0.00 1.14 -0.492 4237 
2 52 226 342 317 1 19 0.00 0.00 0.52 0.20 0.74 1.21 0.00 0.00 0.00 0.71 -0.225 3418 
0 53 228 425 311 6 7 0.00 0.00 0.52 0.16 0.86 1.18 0.00 0.00 0.00 0.78 -0.267 3470 
52 0 84 1491 475 297 196 0.01 0.02 0.00 0.00 1.16 1.63 0.06 0.14 0.00 1.22 -0.530 4633 
57 0 84 1498 748 614 196 0.01 0.01 0.00 0.00 0.93 1.94 0.07 0.10 0.00 1.26 -0.549 5048 
2 52 227 266 317 1 9 0.00 0.00 0.52 0.24 0.61 1.21 0.00 0.00 0.00 0.64 -0.173 3362 
15 0 133 710 412 175 200 0.01 0.01 0.00 0.03 0.97 1.51 0.07 0.25 0.00 1.05 -0.445 3933 
30 0 102 921 451 149 196 0.01 0.02 0.00 0.02 1.03 1.60 0.05 0.19 0.00 1.11 -0.478 4123 
7 48 229 423 359 13 27 0.01 0.01 0.51 0.12 0.77 1.34 0.01 0.00 0.00 0.83 -0.307 3534 
26 1 127 1478 698 221 193 0.01 0.01 0.03 0.01 0.96 1.90 0.04 0.11 0.00 1.24 -0.537 4791 
2 51 226 437 310 1 14 0.00 0.00 0.52 0.16 0.87 1.18 0.00 0.00 0.00 0.78 -0.273 3479 
30 0 98 1141 403 220 196 0.01 0.02 0.00 0.01 1.19 1.48 0.07 0.19 0.00 1.15 -0.496 4259 
2 51 226 296 324 9 11 0.00 0.00 0.52 0.21 0.66 1.23 0.01 0.00 0.00 0.68 -0.204 3394 
1 54 227 347 331 1 8 0.00 0.00 0.52 0.19 0.72 1.25 0.00 0.00 0.00 0.73 -0.239 3434 
59 0 83 1500 1245 512 196 0.01 0.01 0.00 0.00 0.73 2.21 0.05 0.08 0.00 1.28 -0.560 5526 
1 54 231 277 180 2 3 0.00 0.00 0.52 0.40 0.70 0.69 0.00 0.00 0.00 0.36 0.017 3225 
26 0 102 1254 411 146 196 0.01 0.01 0.00 0.01 1.21 1.50 0.04 0.18 0.00 1.16 -0.501 4313 
2 54 226 296 332 9 12 0.00 0.00 0.52 0.21 0.65 1.26 0.01 0.00 0.00 0.69 -0.211 3404 
2 56 224 327 240 8 4 0.00 0.00 0.52 0.27 0.80 0.92 0.01 0.00 0.00 0.56 -0.129 3329 
66 0 84 1500 618 511 196 0.01 0.02 0.00 0.00 1.01 1.82 0.07 0.12 0.00 1.25 -0.543 4884 
0 53 227 447 324 12 7 0.00 0.00 0.52 0.14 0.86 1.23 0.01 0.00 0.00 0.81 -0.289 3502 
