PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
17450;4146;1869;14;685;8882;541;410;3509.0;18.69;18.40;5.81;5.84;0.03;1.42;18.4;12.88;18.58;13.50;14.38;5.33;24.53;38.38;447.0;406.0;858.0;164.0;5197.0;1181.0;5756.0;5899;9673.0;8.927;25414.0;0.5146760199372347;0.44363847393858374;0.0350445928564694;1.5755749745430392;24.528489192953696;12.88;18.58;2.24;3.05;
59957;3225;2477;42;604;7394;1815;1376;1269.0;64.23;14.31;7.70;2.11;0.09;1.25;15.32;10.02;24.63;12.52;56.69;17.88;20.42;30.02;1502.0;1363.0;715.0;-2230.0;3953.0;1914.0;5560.0;2133;12059.0;-4.423;24790.0;1.322568316453277;0.4747518016711947;0.10982550757684688;1.389890487703518;20.420626882000942;10.02;24.63;7.52;10.25;
35402;3610;1725;49;623;10401;2400;1819;241.0;37.93;16.02;5.36;0.40;0.1;1.29;21.54;11.22;17.15;9.27;32.89;23.63;28.73;33.48;1983.0;1804.0;1005.0;-1100.0;6593.0;1498.0;5131.0;405;6732.0;4.884;20202.0;0.8732394366197183;0.46677090205130967;0.1266390118299408;1.432995698077215;28.725119768878653;11.22;17.15;9.95;13.55;
38033;4816;1736;17;737;8454;64;49;4347.0;40.74;21.38;5.39;7.23;0.04;1.53;17.51;14.96;17.26;11.47;36.40;0.68;23.35;44.45;60.0;49.0;817.0;-1211.0;3559.0;1662.0;5860.0;7307;14363.0;0.651;29912.0;0.8681537903518316;0.43607249325146163;0.04449233065337313;1.696121754681841;23.348101879023798;14.96;17.26;.27;.37;
46745;2714;1714;17;1121;11328;409;310;3741.0;50.08;12.05;5.33;6.22;0.04;2.32;23.46;8.43;17.04;16.62;42.63;4.04;31.29;26.68;341.0;306.0;1095.0;-1211.0;2847.0;1642.0;5746.0;6289;14045.0;-2.468;28126.0;1.0958017384871463;0.43685253207689473;0.044269875677983725;2.5808239863275;31.28590028657126;8.43;17.04;1.69;2.31;
36536;1202;2094;140;1473;11301;2533;1920;7.0;39.14;5.33;6.51;0.01;0.29;3.05;23.41;3.73;20.82;17.43;30.82;25.17;31.21;14.06;2128.0;1904.0;1092.0;-448.0;5905.0;1276.0;5210.0;12;5778.0;4.856;18176.0;0.9838907014681892;0.49117981526041016;0.3634157792384156;3.389762274049399;31.2097128498649;3.73;20.82;10.5;14.31;
36087;2613;1718;6;1148;11447;2496;1892;72.0;38.66;11.60;5.34;0.12;0.01;2.38;23.71;8.12;17.08;11.90;32.14;24.46;31.61;25.84;2047.0;1875.0;1106.0;-881.0;6390.0;1419.0;5098.0;121;6245.0;4.711;19226.0;0.9178824510212588;0.4708289638368814;0.015346268024191242;2.6429865450167;31.61418433875279;8.12;17.08;10.34;14.1;
18004;4589;1741;21;1269;8239;290;220;3950.0;19.29;20.37;5.41;6.57;0.04;2.63;17.06;14.26;17.31;12.51;15.62;2.89;22.75;43.66;246.0;218.0;796.0;23.0;5058.0;1240.0;5792.0;6640;10592.0;8.599;26742.0;0.5161467889908257;0.4461562883323508;0.05475668293542331;2.919964293570455;22.75273309116504;14.26;17.31;1.2;1.64;
6182;1276;2582;40;381;10038;2487;1885;88.0;6.62;5.67;8.02;0.15;0.08;0.79;20.79;3.97;25.67;23.11;2.66;24.46;27.72;12.21;2052.0;1869.0;970.0;1462.0;7424.0;650.0;5387.0;148;1426.0;15.969;14977.0;0.5083842967054646;0.5263693514149075;0.10334385756231004;0.8766352015395386;27.722342343306938;3.97;25.67;10.31;14.05;
8900;4165;1690;141;353;9915;2483;1882;95.0;9.53;18.49;5.25;0.16;0.29;0.73;20.54;12.94;16.8;10.05;8.09;24.68;27.38;37.79;2086.0;1866.0;958.0;321.0;8502.0;1021.0;5094.0;160;2667.0;14.864;17382.0;0.37846860004172755;0.4779775206267351;0.36608795249422077;0.8120410065326593;27.382593872889203;12.94;16.8;10.29;14.02;
60332;3597;2157;37;193;8786;2501;1896;63.0;64.63;15.97;6.70;0.10;0.08;0.4;18.2;11.18;21.45;9.16;58.38;24.59;24.27;32.37;2063.0;1878.0;849.0;-2531.0;5065.0;1973.0;5242.0;106;10193.0;-3.925;22538.0;1.3694241686942417;0.4727490886168848;0.09662741975808652;0.44384354623321076;24.265146586871897;11.18;21.45;10.36;14.13;
53415;2955;2333;288;369;8477;2036;1543;881.0;57.22;13.12;7.25;1.47;0.6;0.76;17.56;9.18;23.2;12.67;49.72;20.69;23.41;27.08;1776.0;1530.0;819.0;-1825.0;4651.0;1765.0;5445.0;1481;10323.0;-1.830;23090.0;1.2176034348165494;0.473585273800887;0.7463896373816101;0.8495236512520777;23.412053056090713;9.18;23.2;8.44;11.5;
6474;4731;2055;68;926;6810;184;139;4137.0;6.94;21.00;6.39;6.88;0.14;1.92;14.11;14.7;20.44;14.69;4.79;1.97;18.81;44.13;176.0;138.0;658.0;757.0;5545.0;1006.0;5929.0;6954;9281.0;12.944;26014.0;0.3491665172970066;0.45668821204811644;0.17493707042280593;2.13214418010385;18.806827186530672;14.7;20.44;.76;1.04;
38432;501;2600;61;475;10996;2327;1764;369.0;41.17;2.23;8.08;0.61;0.13;0.98;22.78;1.56;25.85;21.75;31.89;22.94;30.37;5.54;1928.0;1748.0;1063.0;-236.0;5001.0;1222.0;5442.0;620;6523.0;3.655;18567.0;1.047451669595782;0.4902871587944507;0.1588198116475448;1.0932037227551177;30.368377497844165;1.56;25.85;9.64;13.14;
