PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
12738;1001;2520;71;317;10782;47;36;4377.0;13.65;4.44;7.83;7.28;0.15;0.66;22.33;3.11;25.05;30.50;7.26;0.64;29.78;9.62;66.0;34.0;1042.0;1637.0;3628.0;759.0;6300.0;7358;9547.0;10.152;24733.0;0.64;0.31;0.1841329331401525;0.7290984373481822;29.77799861501258;3.11;25.05;.19;.27;
6764;4848;1053;2;291;12149;248;188;4024.0;7.25;21.52;3.27;6.69;0.0;0.6;25.16;15.06;10.47;13.20;5.78;2.43;33.55;43.70;204.0;187.0;1174.0;608.0;5953.0;1075.0;5753.0;6764;9163.0;12.121;26080.0;0.35;0.45;0.004747437182705881;0.6698637236816588;33.55129978595212;15.06;10.47;1.03;1.4;
12141;2143;2226;49;790;10031;126;96;4238.0;13.01;9.51;6.92;7.05;0.1;1.64;20.78;6.66;22.13;24.91;7.25;1.37;27.70;20.84;123.0;94.0;969.0;1285.0;4285.0;869.0;6177.0;7124;9524.0;10.709;25211.0;0.55;0.36;0.12598039249454096;1.817774567538475;27.702265247882774;6.66;22.13;.52;.72;
12653;1482;2505;2;1166;9352;1703;1291;1466.0;13.56;6.58;7.78;2.44;0.0;2.42;19.37;4.6;24.91;23.67;7.36;16.68;25.83;15.84;1396.0;1280.0;904.0;1235.0;6198.0;803.0;5781.0;2464;4735.0;13.240;19024.0;0.57;0.43;0.0046015959528029225;2.6843734730509063;25.828226938997698;4.6;24.91;7.06;9.62;
5926;1164;2211;58;1141;11210;22;16;4422.0;6.35;5.17;6.87;7.36;0.12;2.36;23.22;3.62;21.98;31.13;2.20;0.36;30.96;12.96;39.0;16.0;1083.0;1946.0;4221.0;654.0;6206.0;7433;8606.0;12.723;24233.0;0.57;0.34;0.1508470056703702;2.6249502883507825;30.960486928253676;3.62;21.98;.09;.12;
9263;4567;1081;411;201;12114;1555;1178;1727.0;9.92;20.27;3.36;2.87;0.85;0.42;25.09;14.19;10.75;10.69;8.43;16.29;33.46;41.00;1428.0;1168.0;1171.0;328.0;7642.0;1097.0;5356.0;2903;5582.0;13.423;21452.0;0.38;0.52;1.0651692176898453;0.46343125186782536;33.456473428007605;14.19;10.75;6.44;8.78;
10343;1010;2134;124;940;11948;1790;1357;1313.0;11.08;4.48;6.63;2.18;0.26;1.95;24.75;3.14;21.21;24.85;5.38;17.85;33.00;11.12;1513.0;1345.0;1155.0;1419.0;6410.0;732.0;5630.0;2207;4010.0;13.675;18132.0;0.57;0.41;0.3210863399588727;2.1627262659398663;32.996198668310704;3.14;21.21;7.42;10.11;
8714;4448;1132;126;945;11592;522;396;3542.0;9.34;19.74;3.52;5.89;0.26;1.96;24.01;13.82;11.25;13.37;6.82;5.44;32.01;41.66;475.0;392.0;1120.0;573.0;6164.0;1073.0;5694.0;5954;8491.0;12.191;25063.0;0.38;0.46;0.3268721737259439;2.173868913378969;32.013479678586464;13.82;11.25;2.16;2.95;
5613;2536;2460;204;1681;7272;2521;1911;28.0;6.01;11.26;7.64;0.05;0.42;3.48;15.06;7.88;24.45;19.29;2.65;25.22;20.08;26.38;2141.0;1895.0;703.0;1224.0;8252.0;763.0;5511.0;47;1551.0;17.745;16106.0;0.42;0.54;0.5277704502312663;3.868525796962349;20.083594737761157;7.88;24.45;10.45;14.24;
12060;1401;2454;56;189;10643;1145;868;2447.0;12.92;6.22;7.62;4.07;0.12;0.39;22.04;4.35;24.4;25.61;6.83;11.37;29.39;12.87;959.0;861.0;1029.0;1375.0;5352.0;786.0;5937.0;4113;6321.0;12.089;20911.0;0.58;0.38;0.14529898635231872;0.43597760423604814;29.39299149675669;4.35;24.4;4.75;6.47;
